City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Kapaa,US,79.48,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
11,Guerrero Negro,MX,72.99,broken clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
16,Bengkulu,ID,73.98,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
18,Pisco,PE,80.65,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
19,Chuy,UY,71.94,few clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
22,Ipameri,BR,72.0,moderate rain,-17.7219,-48.1597,Real Hotel
25,Rikitea,PF,80.11,clear sky,-23.1203,-134.9692,People ThankYou
27,Hilo,US,81.25,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
29,Marilia,BR,77.76,broken clouds,-22.2139,-49.9458,Hotel Tenda
30,Avarua,CK,84.25,few clouds,-21.2078,-159.775,Paradise Inn
34,Dangriga,BZ,80.56,scattered clouds,16.9692,-88.2321,Chaleanor Hotel
35,Port Alfred,ZA,72.0,overcast clouds,-33.5906,26.891,The Halyards Hotel
36,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
37,Altamira,BR,86.09,few clouds,-3.2033,-52.2064,Requinte Hotel
42,Kieta,PG,81.34,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
45,Carnarvon,AU,71.67,clear sky,-24.8667,113.6333,Hospitality Carnarvon
50,Kalmunai,LK,75.27,overcast clouds,7.4167,81.8167,VS Villa
52,Kavaratti,IN,81.73,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
55,Butaritari,KI,80.85,moderate rain,3.0707,172.7902,Isles Sunset Lodge
56,Sechura,PE,79.2,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
58,Rocha,UY,70.16,broken clouds,-34.4833,-54.3333,Hotel Arrarte
60,Niono,ML,82.71,overcast clouds,14.2526,-5.993,Hôtel Campement
62,Chancay,PE,80.47,broken clouds,-11.5714,-77.2672,Hotel Madre Perla
63,Arraial Do Cabo,BR,85.96,clear sky,-22.9661,-42.0278,Pousada Porto Praia
72,East London,ZA,72.52,moderate rain,-33.0153,27.9116,Tu Casa
77,Mongoumba,CF,72.7,overcast clouds,3.6415,18.5936,
78,Vaini,TO,77.16,light rain,-21.2,-175.2,Keleti Beach Resort
80,Atuona,PF,79.12,clear sky,-9.8,-139.0333,Villa Enata
81,Laguna,US,71.22,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
82,Ambilobe,MG,73.44,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
88,Betioky,MG,74.95,few clouds,-23.7167,44.3833,Bungalows Acacias Hotel
89,Kununurra,AU,78.78,overcast clouds,-15.7667,128.7333,Hotel Kununurra
90,Puerto Ayora,EC,82.36,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
95,Faanui,PF,81.28,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
96,Alice Springs,AU,74.75,few clouds,-23.7,133.8833,Desert Palms Alice Springs
98,Touros,BR,86.9,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
100,Costa Rica,BR,78.33,broken clouds,-23.4167,-54.65,
102,Tanout,NE,78.26,broken clouds,14.9709,8.8879,
105,Kipini,KE,80.89,few clouds,-2.5257,40.5262,Delta Sea Mall
108,Riberalta,BO,75.4,broken clouds,-10.9833,-66.1,Hotel Colonial
110,Vanimo,PG,76.96,light rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
112,Wajir,KE,85.39,clear sky,1.7471,40.0573,Al-bustan Hotel And Restaurant.
114,Bambous Virieux,MU,79.05,light intensity shower rain,-20.3428,57.7575,Casa Tia Villa
116,Conde,BR,83.66,few clouds,-7.2597,-34.9075,Pousada Beija Flor
121,Port Keats,AU,82.17,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
122,Poum,NC,80.65,clear sky,-20.2333,164.0167,
123,Praya,CV,72.14,few clouds,14.9215,-23.5087,LT Aparthotel
124,Samarai,PG,82.24,broken clouds,-10.6167,150.6667,Nuli Sapi
132,Barquisimeto,VE,85.86,scattered clouds,10.0739,-69.3228,Hotel Príncipe
133,Paita,PE,86.56,overcast clouds,-5.0892,-81.1144,Hotel Náutico de Paita
134,Luganville,VU,80.44,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
136,Celestun,MX,78.21,clear sky,20.8667,-90.4,Posada Lilia
137,Pathein,MM,73.13,scattered clouds,16.7833,94.7333,Pathein Hotel
138,Inhambane,MZ,73.74,clear sky,-23.865,35.3833,Oceano
139,Cocobeach,GA,80.29,light rain,1.0002,9.5823,Hotel Esperance
143,Coquimbo,CL,71.33,clear sky,-29.9533,-71.3436,Hotel San Juan
146,Barra Da Estiva,BR,70.02,overcast clouds,-13.6261,-41.3269,Pousada Central
149,Iquitos,PE,75.24,light intensity drizzle,-3.7481,-73.2472,Cortez Malaga Techy Caroly
150,Karratha,AU,84.49,broken clouds,-20.7377,116.8463,ibis Styles Karratha
155,Hithadhoo,MV,82.33,clear sky,-0.6,73.0833,Scoop Guest House
161,Andros Town,BS,76.96,clear sky,24.7,-77.7667,Hanks place
165,Saint-Paul,RE,78.91,clear sky,-21.0096,55.2707,Boucan Canot
166,Mahebourg,MU,79.09,light intensity shower rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
167,Vasai,IN,82.49,clear sky,19.47,72.8,Go Firne
168,Comodoro Rivadavia,AR,76.86,few clouds,-45.8667,-67.5,Austral Hotel
174,Saint-Philippe,RE,78.39,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
178,Oistins,BB,78.53,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
179,Nanakuli,US,80.55,few clouds,21.3906,-158.1547,Camp Pālehua
180,Junin,AR,84.81,clear sky,-34.5838,-60.9433,Hotel Central
181,Maceio,BR,83.64,light rain,-9.6658,-35.7353,Hotel Ponta Verde Maceió
185,Tierralta,CO,86.49,overcast clouds,8.1736,-76.0592,Hotel La Marqueza
186,Port Blair,IN,80.64,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
189,Port-Gentil,GA,76.96,thunderstorm with light rain,-0.7193,8.7815,Fengshui Residence
191,Trincomalee,LK,77.74,overcast clouds,8.5711,81.2335,Welcombe Hotel
192,Alofi,NU,84.09,scattered clouds,-19.0595,-169.9187,Taloa Heights
194,Prabumulih,ID,73.42,overcast clouds,-3.45,104.25,OYO 2722 Lemon Residence Prabumulih
197,Avera,US,84.07,clear sky,33.194,-82.5271,
199,Vila Velha,BR,85.95,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
200,Sao Filipe,CV,74.86,clear sky,14.8961,-24.4956,Hotel Xaguate
203,Yulara,AU,76.84,scattered clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
204,Baon,PH,75.15,overcast clouds,6.7956,126.0878,SILENT BEACH RESORT
205,Umm Lajj,SA,71.64,broken clouds,25.0213,37.2685,Moon light Furnished Units
208,Souillac,MU,79.18,light intensity shower rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
210,Englewood,US,73.98,broken clouds,39.6478,-104.9878,InTown Suites Extended Stay Denver CO - Englewood
212,Lompoc,US,70.52,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
214,Robertsport,LR,79.9,overcast clouds,6.7533,-11.3686,Kwepunha Retreat
215,Diego De Almagro,CL,80.06,few clouds,-26.3667,-70.05,hotel luna del desierto
221,Batemans Bay,AU,71.2,broken clouds,-35.7167,150.1833,Batemans Bay Marina Resort
222,Bairiki,KI,82.4,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
225,Abeche,TD,82.98,scattered clouds,13.8292,20.8324,Assaleh Hamdan Haroune
231,Marsh Harbour,BS,73.49,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
238,Arlit,NE,79.43,scattered clouds,18.7369,7.3853,Case de Passage De la Prefecture
239,Caravelas,BR,79.5,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
244,Bara,NG,82.42,broken clouds,10.3744,10.7288,
252,Bartica,GY,86.32,overcast clouds,6.4,-58.6167,Sloth Island Nature Resort
254,Mazagao,BR,84.25,broken clouds,-0.115,-51.2894,Recanto dos Ferreiras
256,Kindu,CD,72.95,broken clouds,-2.95,25.95,Résidence Okanda
258,Sao Joao Da Barra,BR,86.09,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
259,Mayumba,GA,79.9,light rain,-3.432,10.6554,LIKWALE LODGE
261,Lorengau,PG,81.03,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
264,Mahanoro,MG,76.42,overcast clouds,-19.9,48.8,BUNGALOW MAHAMANINA
265,Chincha Alta,PE,79.39,broken clouds,-13.4099,-76.1323,Casa Andina Standard Chincha
267,Sulangan,PH,78.78,scattered clouds,11.1373,123.7228,Maia's Beach Resort
270,Kawalu,ID,71.49,overcast clouds,-7.3817,108.2082,West Jontor
271,Nan,TH,73.87,scattered clouds,18.8333,100.6667,สะเนียน2
273,Moerai,PF,81.43,light rain,-22.4333,-151.3333,Le Manotel
275,Cururupu,BR,77.94,moderate rain,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
277,Puerto Leguizamo,CO,76.78,overcast clouds,-0.1934,-74.7819,la casona de juancho
278,Santa Rosa,PH,78.78,light rain,14.3122,121.1114,Erlyn’s Sta Rosa City Home
279,Tucumcari,US,75.94,clear sky,35.1717,-103.725,"Holiday Inn Express & Suites Tucumcari, an IHG Hotel"
282,Bandarbeyla,SO,76.06,broken clouds,9.4942,50.8122,JABIR HOTEL
284,Saint George,US,79.27,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
286,Hirara,JP,70.07,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
287,Kilindoni,TZ,81.72,overcast clouds,-7.9139,39.6668,Bustani B&B
289,Chabahar,IR,72.07,clear sky,25.2919,60.643,هتل گدروشیا
293,Byron Bay,AU,72.05,overcast clouds,-28.65,153.6167,Backpackers Inn
294,Maragogi,BR,81.32,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
298,Wattegama,LK,73.04,overcast clouds,6.7989,81.4808,
299,Tete,MZ,80.69,few clouds,-16.1564,33.5867,Zambeze Paraíso Misterioso
300,Dingle,PH,73.98,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
302,Sao Miguel Do Araguaia,BR,70.54,overcast clouds,-13.275,-50.1628,Hotel Executivo Palace
303,Gamba,GA,79.63,light rain,-2.65,10.0,
304,Okmulgee,US,81.86,clear sky,35.6234,-95.9605,"Holiday Inn Express & Suites Okmulgee, an IHG Hotel"
308,Marana,US,88.99,clear sky,32.4367,-111.2254,Valley of the Sun Mobile Home & RV Park 55+
310,Bandiagara,ML,83.98,overcast clouds,14.3501,-3.6104,Hotel de la Falaise
311,Port Pirie,AU,71.69,overcast clouds,-33.1833,138.0167,John Pirie Motor Inn
314,Codrington,AU,71.04,moderate rain,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
318,Poya,NC,79.48,broken clouds,-21.35,165.15,
319,Cap Malheureux,MU,79.29,moderate rain,-19.9842,57.6142,Pereybere Hotel & Spa
324,Cidreira,BR,78.13,clear sky,-30.1811,-50.2056,Hotel Castelo
325,Kavieng,PG,81.72,light rain,-2.5744,150.7967,Nusa Island Retreat
327,San Luis Rio Colorado,MX,88.61,clear sky,32.4631,-114.7767,HOTEL SAN ÁNGEL & SPA
328,Vao,NC,79.16,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
331,Hervey Bay,AU,72.03,few clouds,-25.2986,152.8535,Shelly Bay Resort
333,Hobbs,US,76.19,clear sky,32.7026,-103.136,Best Western Executive Inn
334,Belmonte,BR,84.2,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
336,Ambon,ID,77.14,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
339,Atar,MR,72.3,clear sky,20.5169,-13.0499,Oumou Elghoura
342,Kalabo,ZM,73.06,overcast clouds,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
343,Morant Bay,JM,83.82,scattered clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
347,Grand-Santi,GF,78.93,moderate rain,4.25,-54.3833,Hotel La Villa Couacou
351,Vaitape,PF,81.16,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
352,Llano Largo,PA,81.25,overcast clouds,7.9,-80.4333,Paradise Resort Hotel
354,Port Hedland,AU,82.45,scattered clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
356,Illapel,CL,80.58,clear sky,-31.6308,-71.1653,Hotel Londres
361,Ende,ID,77.99,scattered clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
364,Viedma,AR,84.49,overcast clouds,-40.8135,-62.9967,Hotel Cristal
365,Pattaya,TH,78.93,clear sky,12.9333,100.8833,Amari Pattaya
366,Jimeta,NG,85.78,broken clouds,9.2833,12.4667,Yola International Hotel
371,Hobyo,SO,77.5,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
373,Wanning,CN,70.72,broken clouds,18.8003,110.3967,Paradise Hotel
374,Gualeguaychu,AR,89.04,overcast clouds,-33.0094,-58.5172,Hotel Los Angeles
375,Imbituba,BR,79.83,light rain,-28.24,-48.6703,Praia Hotel Imbituba
377,Fortuna Foothills,US,87.22,few clouds,32.6578,-114.4119,Fortuna De Oro RV Park
379,Ilhabela,BR,79.92,broken clouds,-23.7781,-45.3581,Ilha Flat Hotel
380,Ndele,CF,83.21,broken clouds,8.4109,20.6473,
381,Brownwood,US,78.12,clear sky,31.7093,-98.9912,La Quinta Inn & Suites by Wyndham Brownwood
383,Bonthe,SL,78.04,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
384,Bandrele,YT,76.75,moderate rain,-12.9067,45.1914,Les Baobabs
385,Alepe,CI,76.87,broken clouds,5.5004,-3.6631,BENENE 1
391,Bathsheba,BB,79.0,broken clouds,13.2167,-59.5167,Atlantis Hotel
400,Gweta,BW,78.55,broken clouds,-20.1833,25.2333,Gweta Lodge
401,Havelock,US,83.98,few clouds,34.8791,-76.9013,Sherwood Motel
402,Jacareacanga,BR,78.24,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
404,Campos Novos,BR,70.7,broken clouds,-27.4017,-51.225,Hotel Corujão - Campos Novos
405,Warri,NG,76.33,light rain,5.5167,5.75,BON Hotel Delta
406,Trairi,BR,80.65,overcast clouds,-3.2778,-39.2689,janelas do mar
408,Naliya,IN,71.46,clear sky,23.2667,68.8333,jadeja jayendrasinh
411,Charters Towers,AU,79.18,scattered clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
413,Palapye,BW,76.66,scattered clouds,-22.546,27.1251,Camp Itumela
418,The Valley,AI,82.26,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
419,Sibolga,ID,77.13,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
423,Buraydah,SA,79.25,overcast clouds,26.326,43.975,Mövenpick Qassim
425,Kudahuvadhoo,MV,81.64,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
426,Kutum,SD,74.03,scattered clouds,14.2,24.6667,Dibbo areaمنطقة دبو
429,Abilene,US,79.02,clear sky,32.4487,-99.7331,La Quinta Inn by Wyndham Abilene
433,Carutapera,BR,77.63,moderate rain,-1.195,-46.02,Lidera
436,Mecca,SA,77.77,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
437,Pochutla,MX,89.82,clear sky,15.7432,-96.4661,Hotel Posada San Jose
440,Ixtapa,MX,88.54,clear sky,20.7,-105.2,hotel la terminal
443,Russell,US,83.48,clear sky,32.3502,-85.1999,Macs
445,Antofagasta,CL,75.22,scattered clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
446,Santa Cruz,BO,86.05,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
447,Kolondieba,ML,86.31,overcast clouds,11.0882,-6.8926,Hotel Dakan
448,Beruwala,LK,76.24,overcast clouds,6.4788,79.9828,The Palms Hotel
450,Palauig,PH,77.13,broken clouds,15.435,119.9045,Alperi Botique Resort
452,Isla Mujeres,MX,80.17,clear sky,21.2311,-86.731,Hotel La Joya Isla Mujeres
455,Alugan,PH,78.49,broken clouds,12.2188,125.4808,JM Lodge
457,Tual,ID,83.43,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
459,Raga,SS,84.06,broken clouds,8.4596,25.678,
462,Beloha,MG,75.2,clear sky,-25.1667,45.05,
465,Namatanai,PG,80.71,light rain,-3.6667,152.4333,Seagulls Inn Namatani
466,Sabang,ID,81.66,overcast clouds,5.8933,95.3214,Hotel Citra
470,Behshahr,IR,78.75,overcast clouds,36.6923,53.5526,Abbas Abad Hotel & Restaurant
472,Maiduguri,NG,81.81,few clouds,11.8464,13.1603,Kagel Mari Police Station
473,Meulaboh,ID,77.27,overcast clouds,4.1363,96.1285,Kost Pria
475,Santa Vitoria,BR,81.19,broken clouds,-18.8386,-50.1214,Center Hotel
482,Matara,LK,78.31,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
483,Inirida,CO,80.78,light rain,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
484,San Cristobal,VE,80.78,overcast clouds,7.7669,-72.225,Pirineos
486,Chicama,PE,73.94,overcast clouds,-7.8447,-79.1469,Balihai Bungalows
488,Bolobo,CD,76.44,overcast clouds,-2.1667,16.2333,Hotel de Stephen
491,Lufilufi,WS,82.18,scattered clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
493,Auki,SB,79.61,overcast clouds,-8.7676,160.7034,Auki Motel
495,Kattivakkam,IN,81.07,overcast clouds,13.2167,80.3167,Euronova Freezer
499,Antipolo,PH,76.66,light rain,14.5864,121.1753,Date & Dine Resort
502,Big Spring,US,79.29,clear sky,32.2504,-101.4787,Hampton Inn & Suites Big Spring
503,Isangel,VU,82.51,scattered clouds,-19.55,169.2667,Tanna Lodge
506,Cape Canaveral,US,84.18,clear sky,28.4058,-80.6048,Residence Inn by Marriott Cape Canaveral Cocoa Beach
509,Manono,CD,70.14,light rain,-7.3,27.4167,Hotel hewa bora
511,Formosa Do Rio Preto,BR,80.82,overcast clouds,-11.0483,-45.1931,Porto Center Hotel
514,Zemio,CF,75.42,broken clouds,5.0314,25.1361,OCHA Office
516,Salalah,OM,72.63,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
525,Camana,PE,74.77,scattered clouds,-16.6228,-72.7111,Hostal Morales
529,Moa,CU,79.05,scattered clouds,20.6569,-74.9403,Carmen
534,Saint Pete Beach,US,86.05,clear sky,27.7253,-82.7412,Grand Plaza Hotel - St. Pete Beach
539,Mattru,SL,78.39,overcast clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
541,Puerto El Triunfo,SV,85.64,clear sky,13.2833,-88.55,Hotel Jardin
542,General Pico,AR,87.69,scattered clouds,-35.6566,-63.7568,Euskadi Hotel
543,Miraflores,MX,77.04,clear sky,19.2167,-98.8083,Hotel Mansión
544,Lamu,KE,80.82,scattered clouds,-2.2717,40.902,Lamu House
547,Santiago,CL,89.29,clear sky,-33.4569,-70.6483,Hotel Panamericano
548,Nchelenge,ZM,70.88,light rain,-9.3451,28.734,KD Travellers Home
549,Luwuk,ID,78.42,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
550,Ipixuna,BR,82.35,light rain,-1.7625,-48.8043,Chalé do Mato
554,Contamana,PE,88.32,overcast clouds,-7.3333,-75.0167,Shiringal Touristic Park
555,Mawlamyine,MM,78.24,clear sky,16.4914,97.6256,Sandalwood Hotel
556,Muli,MV,81.82,scattered clouds,2.9167,73.5667,Medhufushi Island Resort
558,Alyangula,AU,78.67,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
560,Bambanglipuro,ID,77.34,overcast clouds,-7.95,110.2833,Puri Brata
565,La Palma,US,80.42,broken clouds,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
567,Road Town,VG,80.64,broken clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
568,Abonnema,NG,80.98,moderate rain,4.7084,6.7931,Corper's Lodge Obonoma
571,Sorong,ID,79.05,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
572,Pauini,BR,74.91,light rain,-7.7136,-66.9764,Casa do Kiwliks
573,Hilton Head Island,US,85.05,clear sky,32.2163,-80.7526,Disney’s Hilton Head Island Resort
575,Puerto Escondido,MX,86.14,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
578,Mapiripan,CO,77.38,overcast clouds,2.8892,-72.1256,Monserrate
580,Hambantota,LK,78.42,overcast clouds,6.1241,81.1185,Bungalow 63
581,Valera,VE,78.39,overcast clouds,9.3178,-70.6036,Hotel Camino Real
583,Paso De Carrasco,UY,75.65,clear sky,-34.8603,-56.0522,Hotel Sofitel Montevideo Casino Carrasco and Spa
585,Jhargram,IN,70.75,clear sky,22.45,86.9833,Sarada Hotel
589,Aquiraz,BR,84.29,scattered clouds,-3.9014,-38.3911,Pousada Rua Camurupim
595,Hualmay,PE,76.1,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
597,Bonfim,BR,89.24,overcast clouds,3.0833,-59.95,
599,Kerrville,US,77.56,clear sky,30.0474,-99.1403,Inn Of The Hills Hotel & Conference Center
600,Banda Aceh,ID,78.75,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
602,Narsimhapur,IN,71.06,clear sky,22.95,79.2,Hotel Pratap Palace
604,Maridi,SS,71.33,broken clouds,4.9158,29.4742,
608,Quatre Cocos,MU,78.91,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
609,Kahului,US,85.26,few clouds,20.8947,-156.47,Maui Seaside Hotel
611,Emerald,AU,78.94,clear sky,-23.5333,148.1667,The Irish Village
616,Pontes E Lacerda,BR,80.17,overcast clouds,-15.2261,-59.3353,Hotel Bressan
617,Lagunillas,VE,84.87,scattered clouds,10.1301,-71.2595,Casa de Beatriz y Chucho
619,Isiro,CD,70.83,broken clouds,2.7739,27.616,Guest House Hewa Bora
627,Bani,DO,83.64,clear sky,18.2833,-70.3333,Hospedaje Henriquez
628,Salta,AR,79.09,broken clouds,-24.7859,-65.4117,Hotel Alejandro I
629,Miracema Do Tocantins,BR,76.64,overcast clouds,-9.5618,-48.3967,Miami Apart Hotel
631,Foso,GH,77.45,few clouds,5.7012,-1.2866,Pristina Cottage
633,Sola,VU,82.09,broken clouds,-13.8833,167.55,Leumerus Bungalows
634,Dunmore Town,BS,74.34,clear sky,25.5,-76.65,Coral Sands Hotel
636,Stephenville,US,79.56,clear sky,32.2207,-98.2023,La Quinta Inn & Suites by Wyndham Stephenville
641,Nouakchott,MR,84.13,clear sky,18.0858,-15.9785,HOTEL IMAN
642,Sur,OM,73.31,clear sky,22.5667,59.5289,Sur Plaza Hotel
643,Durant,US,77.52,clear sky,33.994,-96.3708,"Holiday Inn Express & Suites Durant, an IHG Hotel"
646,Nanchital,MX,74.79,overcast clouds,18.0667,-94.4,Hotel Estancia Mexicana
647,Cayenne,GF,81.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
649,Wewak,PG,78.22,moderate rain,-3.5534,143.6268,In Wewak Boutique Hotel
650,Mogadishu,SO,78.33,broken clouds,2.0371,45.3438,Hotel Juba
651,Mabaruma,GY,77.0,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
652,Lazaro Cardenas,MX,82.98,clear sky,17.9583,-102.2,quinta antigua
656,Beinamar,TD,83.95,broken clouds,8.6698,15.3813,
659,Sao Raimundo Das Mangabeiras,BR,80.37,overcast clouds,-7.0219,-45.4811,Hotel Tropical
664,Kiunga,PG,72.39,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
665,Ahuimanu,US,80.2,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
666,Puerto Colombia,CO,87.89,few clouds,10.9878,-74.9547,Hotel El Emigrante
667,Harindanga,IN,71.58,clear sky,22.0383,88.3214,Hazi Home
669,Camopi,GF,75.02,overcast clouds,3.1655,-52.3158,La pousada
672,Trinidad,BO,80.58,thunderstorm with light rain,-14.8333,-64.9,Hotel Piesta
674,Cockburn Town,TC,80.56,clear sky,21.4612,-71.1419,Osprey Beach Hotel
678,Harper,LR,80.08,broken clouds,4.375,-7.7169,Screensaver
680,Isla Aguada,MX,77.34,few clouds,18.7833,-91.4667,Freedom Shores
684,Broken Hill,AU,73.11,overcast clouds,-31.95,141.4333,Royal Exchange Hotel
686,Borda Da Mata,BR,74.07,few clouds,-22.2742,-46.1653,Hotel Village
688,Acapulco,MX,85.32,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
689,Gouyave,GD,83.17,few clouds,12.1646,-61.7296,Rumboat Retreat
690,Teshie,GH,82.96,clear sky,5.5836,-0.1072,Best Western Plus Accra Beach Hotel
698,Manta,EC,83.98,broken clouds,-0.95,-80.7333,Balandra Hotel
701,Manado,ID,75.97,scattered clouds,1.487,124.8455,Aryaduta Hotel
703,Panguna,PG,72.12,overcast clouds,-6.3164,155.4848,
704,Chickasha,US,80.8,clear sky,35.0526,-97.9364,"Holiday Inn Express & Suites Chickasha, an IHG Hotel"
709,Rio Tuba,PH,80.71,overcast clouds,8.5061,117.4317,Jjas Pension House
712,Cabrobo,BR,85.46,light rain,-8.5142,-39.31,Hotel Limarques
718,Monte Alegre,BR,85.35,broken clouds,-2.0078,-54.0692,Hotel Shekinah
719,Itaituba,BR,89.76,few clouds,-4.2761,-55.9836,Hotel Campos
725,Victor Harbor,AU,76.46,light rain,-35.5667,138.6167,McCracken Country Club
729,Davila,PH,77.67,broken clouds,18.4726,120.5763,Blue Ridge Beach Resort
730,Dzaoudzi,YT,76.89,clear sky,-12.7887,45.2699,Le Rocher
